city,state,address_1,postal_code,classification,reason_for_recall,product_description,product_quantity,status,dt_report_date,dt_termination_date,report_year,report_month,report_day
Grand Rapids,MI,2929 Walker Ave Nw,49544-6402,Class I,salads and sandwiches contain a sourced cooked egg ingredient which tested positive for Salmonella by the supplier.,MEIJER MACARONI SALAD 3 LB. plastic retail container,27173 units,Terminated,2016-09-21,2016-10-28,2016,9,21
Seattle,WA,4301 University Way Ne,98105-5808,Class II,"Ice cream grab n go Pint containers' labels do not declare any ingredients including allergens Egg, Milk, Soy, and Wheat.","Sweet Alchemy Dough or Die ice cream, distributed in pints. Label declares company name, flavor name, but does not declare ingredients and allergens.",3 pints,Terminated,2023-08-16,2023-09-11,2023,8,16
Albert Lea,MN,2110 Yh Hanson Ave,56007-3406,Class II,Firm is recalling various Egg Salads and Potato Salads because they may contain undeclared traces of imitation crab meat,"Mrs. Gerry's Market Fresh Potato Salad Net Wt. 12 lbs. (5.44 kg), UPC 17839-94212.  Keep Refrigerated.  Manufactured by Mrs. Gerry's, Albert Lea, MN  56007",528 lbs.,Terminated,2018-04-25,2019-06-21,2018,4,25
Portage,WI,1530 La Dawn Dr,53901-8823,Class I,"Dawn's Foods is recalling Dawn's Deluxe Potato Salad and Dawn's Deviled Egg Potato Salad due to mis-labeling and potential undeclared milk, wheat and soy.  Some containers labeled as Dawn's Deluxe Potato Salad may inadvertently contain Dawn's Deviled Egg Potato Salad, which contains soy and wheat.  Some containers of Dawn's Deviled Egg Potato Salad may inadvertently contain Dawn's Deluxe Macaroni","Dawn's Deviled Egg Potato Salad, Net Wt. 15 oz. (397g), UPC 32345-10107. Keep Refrigerated.",2424 units,Terminated,2016-03-23,2016-05-06,2016,3,23
Albert Lea,MN,2110 Yh Hanson Ave,56007-3406,Class II,Firm is recalling various Egg Salads and Potato Salads because they may contain undeclared traces of imitation crab meat,"Mrs. Gerry's Egg Salad, Net Wt. 5 lb. (2.26kg), UPC 17839-60605.  Keep Refrigerated.  Manufactured by Mrs. Gerry's, Albert Lea, MN  56007",2090 lbs.,Terminated,2018-04-25,2019-06-21,2018,4,25
Glendale,CA,601 Vine St,912041417,Class I,"Sugar Flowers Plus Inc of Glendale, CA is recalling Cake Decors Pastillage (gum paste) Flowers because of the undeclared use of egg white wash as a glue for the inner petals of flowers.",Pastillage (gum paste) Flowers,,Terminated,2013-01-23,2013-09-13,2013,1,23
West Monroe,LA,131 Frost Commerical Dr,71292-2479,Class I,Pre-portioned sugar cookie dough contains undeclared milk and pre-portioned walnut chocolate chunk cookie dough contains undeclared egg.,Crazy about Cookies 2.7lb WALNUT CHUNKY CHOCOLATE CHIP Pre-Portioned cookie dough Item # 25-2008 UPC Code - 698768102168,701 units,Terminated,2016-01-13,2017-08-03,2016,1,13
Saint Cloud,MN,1921 Coborn Blvd,56301,Class II,"Coborn's Inc is recalling packages of its American Rye Bread and Caraway Bread, which contain undeclared allergens (milk, soy, and egg) as a result of an update to the ingredient profile from the manufacturer of the base.",Coborn's/Cash Wise American Rye Bread - UPC 7-33147-20150  Net Wt. 16 oz (1.0 lb) (454 kg) Sell by 9/7/2017,121 loaves (total),Terminated,2017-10-11,2019-08-15,2017,10,11
Pompano Beach,FL,1471 Sw 5th Ct,33069-3524,Class II,The Egg Bagel flavor lacks declaration of Yellow 5 on its label.,"Opelle Bakery Egg Bagel (B-105), case of 96 (4 oz.), Frozen Raw.",101 cases still within shelf-life at initiation of recall,Ongoing,2017-01-25,,2017,1,25
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Hamburger Buns, Valley Bakery, Rock Valley, IA, 12 count. UPC 290202003804, packaged in clear plastic bags",91 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Moonachie,NJ,25 Knickerbocker Rd,07074-1613,Class I,Fish products contain undeclared egg and wheat.,"Fish Tofu in Polybag 40/240g, Item no. 17185, UPC Code 087703171855",3 cases,Terminated,2017-12-20,2018-01-23,2017,12,20
El Monte,CA,10942 Klingerman St Ste B,91733-2712,Class I,Vegan Golden Nuggets were sampled by the FDA and found to contain egg that is not declared on the label.,"Vegan Golden Nuggets, (6.6 lb bags) Ingredients: (NON GMO) Textured Soybean Fiber, Isolated Soy Protein, Soybean Oil, Sugar, Salt, Pepper, Vegan Chicken Flavor Seasoning (Food Additive: Modified Starch Seasoning, Yeast Extract (Yeast Extract, Salt, Water), Crisp Powder, Bread Powder (Wheat). Keep Frozen","2 cases, 6 bags per case",Terminated,2022-11-16,2023-01-24,2022,11,16
San Carlos,CA,1056 Commercial St,94070-4026,Class II,"It was discovered that the specification used by the supplier was incorrect and therefore the ingredient statement was incorrect and did not include unbleached wheat flour and bulgur wheat. The packaging does note that the products are packaged in a facility that also processes tree nuts, peanuts, milk, wheat, egg and soy.","NatureBox Salsa Spiced Nut Mix;  Net. WT: 4 oz. (113 g), Stand up Pouch,  Vegan  Ingredients: Almonds, Corn chips with flax (yellow corn masa, flax seed, soybean oil, salt), Cashews, seasoning ( tomato powder, salt, sugar, onion powder, garlic powder, spices, cilantro, lime juice powder, corn syrup, lime juice, lime oil, paprika, soybean oil), corn syrup, sugar.  No UPC on product.    Distributed by NatureBox,  San Carlos, CA  94070","8,672 bags.",Terminated,2014-02-05,2014-03-03,2014,2,5
Portland,OR,1300 Se Stark St Ste 401,97214-2473,Class I,Bacon Shallot Potato Salad was recalled due to undeclared egg.,"Bacon Shallot Potato Salad, internal item PLU code 52365, sold as bulk from the full service deli case per costumers  order. The salad was packed into plastic deli containers.      The label is read in parts: ""*** Potatoes, red wine vinaigrette (Dijon mustard [water, mustard seeds, vinegar, salt], non-GMO canola oil, red wine vinegar [red wine vinegar, sodium bisulfite {preservative}], garlic, kosher salt, basil, black pepper, cultured dextrose, oregano), bacon (pork, water, salt, brown sugar, sodium phosphate, sodium erythorbate, natural smoke flavor, sugar, spice extractives, sodium nitrite),  caramelized shallots (shallots, thyme, butter [sweet cream, lactic acid]), parsley. *** Contains: Milk *** "".",60 lbs.,Terminated,2019-06-12,2019-06-04,2019,6,12
Bayonne,NJ,100 Pulaski St,07002-5003,Class I,The recall was initiated after it was discovered the label failed to list the common name Albumin as egg; also the species of fish was not declared in the ingredient statement.,"Lam Sheng Kee, Frozen White Fish Ball - Shrimp Ball Net Weight 7 oz (200 G) - Sheng Lin Mark Trade Co. LTD 4 F. No 89, Ln. 528 Heping Road, Bade City, Taoyuan County 334, Taiwan (ROC).  Distributed by: Win Luck Trading Inc. 100 Pulaski Street, Bayonne, NJ  07002.  UPC 6949682804640",Unknown,Terminated,2013-05-29,2015-03-02,2013,5,29
Englewood Cliffs,NJ,700 Sylvan Ave,07632-3113,Class II,Undeclared egg,Knorr Fideos con Tomate Tomato Based Pasta Soup Mix 3.5 oz UPC: 048001716162,"530,000 cases",Ongoing,2023-09-20,,2023,9,20
Middlebury,IN,1065 N 1150 W,46540-9340,Class I,Undeclared egg ingredient,"Rise n Roll Bakery & Deli, Cinnamon Caramel Donuts, sold individually and  found in 6 count (436 g) UPC Code 6 26570 61744 0  or 12 count (861.83 g) UPC Code 6 26570 617457,  variety donut box identifying all donut varieties and in Cinnamon Caramel Donut Holes, 1.05 lb, UPC Code 6 26570 61743 3.  Cinnamon Caramel Donuts, donut holes  Enriched wheat flour, soybean oil, dextrose, salt, leaving, soy flour, dry whey, mono and diglycerides with BHT, sodium stearoyl, latylate, guar gum wheat starch, ascorbic acid, corn oil, beta carotene, citric acid, silicon dioxide, alpha tocopherols, tricalcium phosphate, soy shortening (palm oil, soybean oil, vitamin E)     TOPPING:  Powdered sugar, brown sugar, butter (milk), dextrose, cornstarch, cinnamon, palm and soy oil, salt and flavor.    Contains wheat, soy and milk",Unknown,Terminated,2014-03-12,2014-04-23,2014,3,12
Austin,TX,1105 N Lamar Blvd,78703-4941,Class I,Undeclared egg,Peach Pie 9 Inch NET WT. 2lb 4oz (1021g) and Peach Pie Half NET WT. 1lb 1oz (482g) and individual slices,11 units,Terminated,2015-08-12,2016-08-18,2015,8,12
South El Monte,CA,2111 Chico Ave,91733-1606,Class I,Undeclared egg,"Giai Phat Fried Featherback Fish Ball NET WT. 10 oz. (283g)  Keep Product Refrigerated at 38F or Below/May Be Frozen  Ingredients: Fish meat (may contain surimi (Japanese Threadfin Bream Fish, Sugar, Polyphosphate) Lady Fish and or Featherback Fish), Water, Tapioca Flour, Salt, Monosodium Glutamate, Garlic Powder, White Pepper, Baking Powder, (Sodium Acid Bicarbonate, Corn Starch, and Monocalcium Phosphate), and Spice.  Fried in Soybean Oil.    Item # 21411  Distributed By: 888 Food Co.  S. El Monte, CA 91733","335,401 bags (total)",Terminated,2022-06-29,2023-01-31,2022,6,29
Omaha,NE,4651 F St,68117-1403,Class II,"Units may fail to bear the ingredient list. The major food allergens of wheat, milk, egg, soy, and peanuts are not declared.","Marketside Peanut Butter Brownie, Net Wt. 19 oz, Distributed by Walmart Inc. Bentonville, AR",345/4 trays/cases,Terminated,2020-08-19,2020-09-28,2020,8,19
Seattle,WA,21 S Nevada St,98134-1121,Class III,"Hot Dog Buns label declares ""Contains: wheat, egg, dairy"".  Milk is declared in the ingredients statement, but not in the Contains statement.","Hot Dog Buns, 6 pieces packaged in a poly bag, net wt  17.3 oz.    The label is read in parts: ""***HOTDOG BUNS***NET WT. 17.3 OZ***Ingredients:***Enriched unbleached wheat flour***egg, whole milk (milk, vitamin A, vitamin D3), butter***Contains: wheat, egg, dairy***"".",90 bags,Terminated,2018-01-31,2018-03-09,2018,1,31
Buchholz,,Neue Str 21,,Class I,"BLM Prod.-und Vertriebsges.mbH & Co. KG has initiated a voluntary recall of Priano Rosso Pesto Sauce, 6.7 oz. packaged in glass jars due to undeclared allergens egg and milk.","Priano Rosso Pesto Sauce, 6.7oz glass jar",174636 jars,Terminated,2018-06-13,2018-10-11,2018,6,13
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi Jin Jjambbong Spicy Seafood Noodle  4.58 oz x 4 ea  Item #32142443  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
Austin,TX,601 N Lamar Blvd Ste 300,78703-5424,Class I,Undeclared egg sourced from egg lysozyme,Zerto Fontal Cheese UPC 20565300000 sliced in store and sold by the pound wrapped in plastic wrap,213 units,Terminated,2022-11-09,2023-02-14,2022,11,9
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Paczkis - Apricot Flavor packaged in a clear plastic clamshell  4 pack,297,Terminated,2022-03-16,2022-03-18,2022,3,16
Brooklyn,NY,181 27th St,11232-1624,Class I,Product may contain undeclared egg.,Lam Sheng Kee Frozen White Fish Ball NET WEIGHT: 32.1 OZ,Exact quantity is unknown.,Terminated,2017-08-02,2018-12-03,2017,8,2
Hackettstown,NJ,700 High St,07840-1502,Class I,"Dove  Chocolate Assortment Snowflakes may contain undeclared peanuts, what and egg ingredients.","Dove Chocolate Assortment Snowflakes Net. Wt. 24.0 oz. Distributed by Mars Chocolate na, llc Hackettstown, NJ 07840-1503 USA  UPC 400050521",6582 cases,Terminated,2016-02-10,2017-09-05,2016,2,10
Washington,NC,321 N Pierce St,27889-4841,Class I,"Undeclared egg, wheat and soy.","CRABCAKE Ingredients: Blue Crabmeat, mayonnaise, onion bread crumbs, egg solids, salt, spices paprika WASHINGTON CRAB Carolina seafood",2143/3oz cakes,Ongoing,2023-05-31,,2023,5,31
Santa Fe Springs,CA,13409 Orden Dr,90670-6336,Class I,"Fish Cake items contain possible contaminating undeclared egg, milk and shellfish.","Shirakiku FISH CAKE OHBAN AGE SK F;  20/ 150G; Net Wt. 5.29 oz.  Keep Frozen, 1 pc  UPC 074410925277    Distributed by Wismettac Asian Foods, Inc. Santa Fe Springs, CA","26,050 packages",Terminated,2019-08-14,2020-01-28,2019,8,14
Orlando,FL,3505 Lake Lynda Dr,32817-8324,Class I,The firm was notified that a consumer had an allergic reaction to their product. The product did not list egg on the label.,"Highkey soft baked MINI TREATS BANANA NUT MUFFIN NET WT 2 OZ (57g) CONTAINS: ALMONDS, MILK, AND PECANS. DISTRIBUTED BY SUMMIT NATURALS INC ORLANDO, FL 32826 UPC 8 50020 43373 5","1,317 cases",Ongoing,2023-05-24,,2023,5,24
Brooklyn,NY,4120 2nd Ave,11232-3315,Class I,"Products contain undeclared allergen, specifically egg.","QQ Fish brand Tofu Style Fried Fish Cake, 200g","52 cartons; 50-200g packets/carton; total: 2,600 packets",Terminated,2019-09-18,2020-08-04,2019,9,18
Eau Claire,WI,2424 Alpine Rd,54703-9562,Class I,Silver Spring is recalling Waterfront Bistro Tartar Sauce because an incorrect back label does not identify egg.,"waterfront Bistro Tatar Sauce, Net Wt 9 oz. (255g), UPC 21130-12242",11092 cases (6 bottles per case),Terminated,2017-10-18,2019-06-27,2017,10,18
Panama City Beach,FL,606 Commerce Dr Ste A,32408-7691,Class I,"allergen warning not listed on labels , egg, soy and wheat including sulfites","Bloody Hell Mary, HOT,  Kitchen By The Sea, From the Beach House, Net Wt. 32 oz. (.9L), Low Sodium",11 quarts (352 ounces),Terminated,2018-05-02,2019-09-17,2018,5,2
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Coffee Cake - Pecan Flavor packaged in an aluminum rectangular tray with plastic dome lid Single pack - 6 servings,85,Terminated,2022-03-16,2022-03-18,2022,3,16
South El Monte,CA,2111 Chico Ave,91733-1606,Class I,Undeclared egg,"Ho King Fried Fish Balls Net Wt. 10 oz. (283.5g)  Keep product refrigerated at 38F or below  May be frozen  Ingredients: Surimi (Japanese Threadfin Bream Fish, Sugar, Polyphosphate), Water, Tapioca Flour, Salt, Monosodium Glutamate, Garlic Powder, White Pepper, Baking Powder (Sodium Acid, Pyrophosphate, Sodium Bicarbonate, Corn Starch and Monocalcium Phosphate) and Spice.  Fried in Soybean Oil.  Dist. By: 888 Food Co.  S. El Monte, CA 91783    Giai Phat Fried Fish Balls  NET WT: 10oz. (283g)  Keep product refrigerated at 38F or below.  May be frozen  Item #20411  Ingredients: Fish meat (may contain surimi (Japanese Threadfin Bream, sugar, Polyphosphate), Lady Fish and or Featherback Fish), Water, Tapioca Flour, Salt, Monosodium Glutamate, Garlic Powder, White Pepper, Baking Powder (Sodium Acid, Pyrophosphate, Sodium Bicarbonate, Corn Starch and Monocalcium Phosphate) and Spice.  Fried in Soybean Oil.  Distributed By: 888 Food Co.  S. El Monte, CA 91733","335,401 bags (total)",Terminated,2022-06-29,2023-01-31,2022,6,29
Lewis Center,OH,8333 Green Meadows Dr N,43035-8496,Class I,Undeclared Egg Allergen,Blanched Penne Rigati  8oz plastic bag  40 bags per case,210 cases,Terminated,2021-05-19,2021-06-11,2021,5,19
Palmyra,PA,77 N Hetrick Ave,17078-1501,Class I,"A.S.K. Foods, Inc. of Palmyra, Pennsylvania is voluntarily recalling one lot of Taste of Inspirations Classic Red Skin Potato Salad because it may contain undeclared egg.",Taste of Inspirations Classic Red Skin Potato Salad; Creamy redskin potatoes & white onion in a tangy dressing. Net Wt. 16 OZ. Sell By: 08-01-16 4238,,Terminated,2016-12-14,2017-01-23,2016,12,14
Sonoma,CA,22085 Carneros Vineyard Way,95476-2826,Class I,Undeclared Egg.,"St. Benoit French Vanilla Yogurt; from pasture raised Jersey cows.  Packaged in glass jar, net wt. 4.75 oz., UPC 6 49241 92910 9,     St. Benoit Creamery. Sonoma, CA 95476  Certified Organic by CCOF",752 units,Terminated,2022-04-06,2022-05-10,2022,4,6
Federal Way,WA,34114 21st Ave S,98003-8984,Class I,Undeclared Egg.,"Mango Real Greek Yogurt, 16 oz., refrigerated item and packaged in a clear plastic container with a blue foil seal and can be identified by the blue lettering on front panel display. UPC on 16 oz. CUP is 8 57290 00612 6.      The Mango Real Greek Yogurt label is read in parts: ""***MANGO REAL GREEK YOGURT *** ELLENOS ***INGREDIENTS: Yogurt (Grade A Pasteurized Milk, Live Active Culture ***Cane Sugar, Honey, Mango Puree (Mangos, Pectin)***Allergen Information: Contains Milk. *** Made in a facility that processes egg, wheat, peanuts, and tree nuts***"".    The MASTER CASE label is read in parts: ""***PUMPKIN 16oz *** 132525 *** 298 *** 0346 ***BEST BEFORE 11/28/202***"".","326 master cases (12 count) = 3, 912 individual units",Terminated,2021-12-15,2022-01-13,2021,12,15
Austin,TX,1105 N Lamar Blvd,78703-4941,Class I,Undeclared egg,Cherry Pie 9 Inch NET WT. 2lb 4oz (1021g) and Cherry Pie Half NET WT. 1lb 1oz (482g) and individual slices,20 units,Terminated,2015-08-12,2016-08-18,2015,8,12
Milwaukee,WI,726 S 12th St.,53204-1211,Class II,"Garden Fresh Foods Inc. is voluntarily recalling a limited number of packages of Archer Farms Smoked Salmon Dip that may contain undeclared allergens, fish and egg.  Some of Archer Farms Smoked Salmon Dip may have inadvertently been filled in a limited amount of Bacon Parmesan dip containers.","LID: Archer Fames, Smoked Salmon dip, NET WT 11 OZ (312g).    TUB: Archer Farms, Bacon Parmesan dip, NET WT 11 OZ (312g). UPC: 0 85239 99017 9    Distributed by Target corp., Minneapolis, MN.",126 cases ( 6 containers / case) for a total of 756 contaienrs,Terminated,2013-07-17,2013-09-17,2013,7,17
